,BAT0001,BAT0002,BAT0003,BAT0004,BAT0005,BAT0006,BAT0007,BAT0008,BAT0009,BAT0010,BAT0011,BAT0012,BAT0013,BAT0014,BAT0015,BAT0016,BAT0017,BAT0018,BAT0019,BAT0020,BAT0021,BAT0022,BAT0023,BAT0024,BAT0025,BAT0026,BAT0027,BAT0028,BAT0029,BAT0030
OTU_1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
OTU_2,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
OTU_3,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
OTU_5,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1
OTU_6,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0
OTU_7,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1
OTU_8,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0
OTU_9,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
OTU_10,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1
OTU_11,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
OTU_12,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
OTU_13,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1
OTU_14,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
OTU_15,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0
OTU_16,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
OTU_17,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0
OTU_18,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
OTU_19,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
OTU_20,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
OTU_21,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1
OTU_22,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0
OTU_23,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1
OTU_24,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
OTU_25,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
OTU_26,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1
OTU_27,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
OTU_28,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1
OTU_29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
